Dates,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic EPS,EPS - Earnings Per Share,Sales percentage,Brand loyalty score
30-06-2018,"$7,281","$5,818","$3,503","$1,404","$2,459","$20,464","$2,125",$948,"$10,769","$5,844","$25,500","$45,966","$14,891","$3,305","$2,234","$13,080","$27,970",$293,"$-1,400.11",$0,"$19,018","$17,995","$45,966","$6,336","$4,118","$2,218","$1,389",$970,$-122.84,"$2,482",$-263.56,$-71.56,$-335.12,$-11.93,$-323.19,$0,$-323.19,$1.19,$-317.23,$152,$-263.56,$-0.06,$-0.06,4.37,0.18
30-09-2018,"$6,819","$5,562","$3,696","$1,244","$2,785","$20,107","$2,038","$1,014","$10,271","$5,679","$24,697","$44,802","$15,578","$3,218","$2,036","$11,740","$27,318",$286,"$-1,456.86",$0,"$18,564","$17,486","$44,802","$6,346","$3,999","$2,347","$1,306","$1,012",$-93.02,"$2,410",$-62.79,$-67.44,$-130.22,$17.44,$-147.66,$0,$-147.66,$55.81,$-91.85,$329,$-62.79,$-0.01,$-0.01,3.59,0.18
31-12-2018,"$8,404","$5,735","$3,741","$1,209","$2,488","$21,578","$2,114",$986,"$10,399","$5,793","$25,092","$46,670","$16,657","$3,340","$1,990","$11,860","$28,516",$291,"$-1,254.22",$0,"$18,987","$18,153","$46,670","$7,912","$4,722","$3,190","$1,327","$1,068",$-126.42,"$2,521",$670,$-78.82,$591,$333,$258,$0,$258,$-4.63,$239,"$1,123",$670,$0.04,$0.04,3.48,0.18
31-03-2019,"$7,634","$5,599","$4,007","$1,180","$2,051","$20,473","$2,018",$984,"$9,843","$5,759","$25,618","$46,090","$15,612","$4,146","$1,885","$13,421","$29,032",$279,"$-1,713.92",$0,"$18,351","$17,057","$46,090","$5,715","$3,921","$1,795","$1,313",$936,$-140.84,"$2,390",$-595.16,$-68.15,$-662.17,$-161.28,$-500.89,$0,$-502.02,$-3.41,$-506.57,$-131.75,$-595.16,$-0.09,$-0.09,3.27,0.18
30-06-2019,"$5,704","$5,369","$4,053","$1,279","$2,342","$18,749","$2,003","$1,000","$9,403","$5,703","$25,000","$43,749","$13,951","$4,439","$1,904","$13,636","$27,590",$277,"$-2,234.51",$0,"$17,963","$16,160","$43,749","$6,400","$4,079","$2,321","$1,266",$858,$-263.02,"$2,386",$-65.19,$-201.20,$-266.39,$-51.70,$-214.68,$0,$-214.68,$-3.37,$-216.93,$393,$-65.19,$-0.03,$-0.03,3.13,0.18
30-09-2019,"$5,836","$5,046","$4,050","$1,212","$2,315","$18,459","$2,041","$1,012","$9,291","$5,711","$25,042","$43,501","$13,780","$4,518","$1,818","$13,675","$27,455",$274,"$-2,417.49",$0,"$18,023","$16,046","$43,501","$6,323","$4,133","$2,190","$1,179",$822,$106,"$1,895",$295,$-105.64,$187,$88.96,$97.86,$0,$96.74,$-2.22,$91.18,$746,$295,$0.01,$0.01,3,0.18
31-12-2019,"$6,912","$5,628","$3,288","$1,017","$1,980","$18,825","$2,079","$1,014","$8,911","$6,235","$24,998","$43,823","$13,502","$4,463","$1,648","$13,073","$26,574",$276,"$-1,806.56",$0,"$18,611","$17,249","$43,823","$7,675","$4,655","$3,020","$1,183",$858,$-70.26,"$2,111",$909,$6.50,$916,$279,$638,$0,$640,$1.16,$640,"$1,395",$909,$0.11,$0.11,2.68,0.18
31-03-2020,"$7,275","$5,334","$3,124",$974,"$1,760","$18,468","$2,013",$980,"$9,036","$6,779","$25,389","$43,857","$13,442","$4,586","$1,560","$12,762","$26,202",$271,"$-1,910.74",$0,"$19,143","$17,656","$43,857","$5,420","$3,459","$1,961","$1,089",$841,$-116.94,"$2,046",$-84.95,$-59.57,$-143.42,$-33.10,$-110.32,$0,$-110.32,$-16.55,$-129.07,$229,$-84.95,$-0.02,$-0.02,2.29,0.18
30-06-2020,"$8,471","$5,143","$3,155",$939,"$1,652","$19,360","$1,949",$934,"$8,694","$6,175","$24,211","$43,571","$12,872","$5,705","$1,375","$13,830","$26,703",$271,"$-1,810.21",$0,"$18,230","$16,868","$43,571","$5,607","$3,398","$2,209","$1,067",$749,$-205.91,"$2,022",$187,$-5.51,$182,$88.09,$93.59,$0,$93.59,$15.42,$104,$505,$187,$0.02,$0.02,2.05,0.18
30-09-2020,"$9,213","$4,835","$3,209","$1,095","$2,010","$20,360","$2,034","$1,024","$8,828","$6,481","$25,003","$45,363","$13,295","$5,961","$1,407","$14,276","$27,571",$288,"$-1,697.39",$0,"$19,024","$17,792","$45,363","$6,189","$3,878","$2,311","$1,046",$753,$-101.70,"$1,901",$410,$-85.34,$323,$86.51,$236,$0,$237,$-7.01,$226,$775,$410,$0.04,$0.04,2.13,0.18
